# ARMA v2 File Entry Table (9500 entries)
# Format: index | offset | compressed_size | uncompressed_size | flags

    0 | 0x00000004e7b0 |        147 |        147 | 0x00000000
    1 | 0x00000004e850 |         12 |         12 | 0x00000000
    2 | 0x00000004e860 |    2167328 |    2167328 | 0x00000000
    3 | 0x00000025fa80 |        243 |        243 | 0x00000000
    4 | 0x00000025fb80 |       6591 |       6591 | 0x00000000
    5 | 0x000000261540 |      32928 |      32928 | 0x00000000
    6 | 0x0000002695e0 |        617 |        617 | 0x00000000
    7 | 0x000000269850 |      21308 |      21308 | 0x00000000
    8 | 0x00000026eb90 |     349920 |     349920 | 0x00000000
    9 | 0x0000002c4270 |     349920 |     349920 | 0x00000000
   10 | 0x000000319950 |      13796 |      13796 | 0x00000000
   11 | 0x00000031cf40 |      15156 |      15156 | 0x00000000
   12 | 0x000000320a80 |       4996 |       4996 | 0x00000000
   13 | 0x000000321e10 |       1828 |       1828 | 0x00000000
   14 | 0x000000322540 |       1620 |       1620 | 0x00000000
   15 | 0x000000322ba0 |      80356 |      80356 | 0x00000000
   16 | 0x000000336590 |      22628 |      22628 | 0x00000000
   17 | 0x00000033be00 |       7540 |       7540 | 0x00000000
   18 | 0x00000033db80 |       8020 |       8020 | 0x00000000
   19 | 0x00000033fae0 |       2468 |       2468 | 0x00000000
   20 | 0x000000340490 |     518036 |     518036 | 0x00000000
   21 | 0x0000003bec30 |      30660 |      30660 | 0x00000000
   22 | 0x0000003c6400 |      32580 |      32580 | 0x00000000
   23 | 0x0000003ce350 |      25380 |      25380 | 0x00000000
   24 | 0x0000003d4680 |      46340 |      46340 | 0x00000000
   25 | 0x0000003dfb90 |       2436 |       2436 | 0x00000000
   26 | 0x0000003e0520 |       2004 |       2004 | 0x00000000
   27 | 0x0000003e0d00 |     178964 |     178964 | 0x00000000
   28 | 0x00000040c820 |      12212 |      12212 | 0x00000000
   29 | 0x00000040f7e0 |       3380 |       3380 | 0x00000000
   30 | 0x000000410520 |      51604 |      51604 | 0x00000000
   31 | 0x00000041cec0 |       1444 |       1444 | 0x00000000
   32 | 0x00000041d470 |      28180 |      28180 | 0x00000000
   33 | 0x000000424290 |      56436 |      56436 | 0x00000000
   34 | 0x000000431f10 |       4180 |       4180 | 0x00000000
   35 | 0x000000432f70 |       1364 |       1364 | 0x00000000
   36 | 0x0000004334d0 |       5652 |       5652 | 0x00000000
   37 | 0x000000434af0 |     144676 |     144676 | 0x00000000
   38 | 0x000000458020 |       2452 |       2452 | 0x00000000
   39 | 0x0000004589c0 |       1220 |       1220 | 0x00000000
   40 | 0x000000458e90 |      21284 |      21284 | 0x00000000
   41 | 0x00000045e1c0 |       8260 |       8260 | 0x00000000
   42 | 0x000000460210 |       1396 |       1396 | 0x00000000
   43 | 0x000000460790 |       4804 |       4804 | 0x00000000
   44 | 0x000000461a60 |       3460 |       3460 | 0x00000000
   45 | 0x0000004627f0 |      89156 |      89156 | 0x00000000
   46 | 0x000000478440 |       8468 |       8468 | 0x00000000
   47 | 0x00000047a560 |      11252 |      11252 | 0x00000000
   48 | 0x00000047d160 |       1572 |       1572 | 0x00000000
   49 | 0x00000047d790 |        992 |        992 | 0x00000000
   50 | 0x00000047db70 |       4256 |       4256 | 0x00000000
   51 | 0x00000047ec10 |     262304 |     262304 | 0x00000000
